model_name,block_type
shufflenet_v2_x1_0,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'ReLU']"
shufflenet_v2_x1_0,MaxPool2d
shufflenet_v2_x1_0,Conv2d
shufflenet_v2_x1_0,Sequential
shufflenet_v2_x1_0,Linear
shufflenet_v2_x1_0,BatchNorm2d
shufflenet_v2_x1_0,ReLU
shufflenet_v2_x1_5,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'ReLU']"
shufflenet_v2_x1_5,MaxPool2d
shufflenet_v2_x1_5,Conv2d
shufflenet_v2_x1_5,Sequential
shufflenet_v2_x1_5,Linear
shufflenet_v2_x1_5,BatchNorm2d
shufflenet_v2_x1_5,ReLU
shufflenet_v2_x2_0,"['Conv2d', 'BatchNorm2d', 'Conv2d', 'BatchNorm2d', 'ReLU']"
shufflenet_v2_x2_0,MaxPool2d
shufflenet_v2_x2_0,Conv2d
shufflenet_v2_x2_0,Sequential
shufflenet_v2_x2_0,Linear
shufflenet_v2_x2_0,BatchNorm2d
shufflenet_v2_x2_0,ReLU
squeezenet1_0,"['Conv2d', 'ReLU', 'MaxPool2d', 'Conv2d', 'ReLU']"
squeezenet1_0,ReLU
squeezenet1_0,Dropout
squeezenet1_0,Conv2d
squeezenet1_0,AdaptiveAvgPool2d
squeezenet1_1,"['Conv2d', 'ReLU', 'MaxPool2d', 'Conv2d', 'ReLU']"
squeezenet1_1,ReLU
squeezenet1_1,Dropout
squeezenet1_1,Conv2d
squeezenet1_1,AdaptiveAvgPool2d
swin_b,"['LayerNorm', 'LayerNorm', 'Linear', 'Linear', 'StochasticDepth']"
swin_b,Conv2d
swin_b,Permute
swin_b,StochasticDepth
swin_b,AdaptiveAvgPool2d
swin_b,Linear
swin_b,Dropout
swin_b,GELU
swin_b,Flatten
swin_b,LayerNorm
swin_s,"['LayerNorm', 'LayerNorm', 'Linear', 'Linear', 'StochasticDepth']"
swin_s,Conv2d
swin_s,Permute
swin_s,StochasticDepth
swin_s,AdaptiveAvgPool2d
swin_s,Linear
swin_s,Dropout
swin_s,GELU
swin_s,Flatten
swin_s,LayerNorm
swin_t,"['LayerNorm', 'LayerNorm', 'Linear', 'Linear', 'StochasticDepth']"
swin_t,Conv2d
swin_t,Permute
swin_t,StochasticDepth
swin_t,AdaptiveAvgPool2d
swin_t,Linear
swin_t,Dropout
swin_t,GELU
swin_t,Flatten
swin_t,LayerNorm
swin_v2_b,"['LayerNorm', 'LayerNorm', 'Linear', 'Linear', 'Linear']"
swin_v2_b,Conv2d
swin_v2_b,Permute
swin_v2_b,StochasticDepth
swin_v2_b,AdaptiveAvgPool2d
swin_v2_b,Linear
swin_v2_b,Dropout
swin_v2_b,GELU
swin_v2_b,Flatten
swin_v2_b,LayerNorm
swin_v2_b,ReLU
swin_v2_s,"['LayerNorm', 'LayerNorm', 'Linear', 'Linear', 'Linear']"
swin_v2_s,Conv2d
swin_v2_s,Permute
swin_v2_s,StochasticDepth
swin_v2_s,AdaptiveAvgPool2d
swin_v2_s,Linear
swin_v2_s,Dropout
swin_v2_s,GELU
swin_v2_s,Flatten
swin_v2_s,LayerNorm
swin_v2_s,ReLU
